"day","exp","Site","Group","Treatment","Mouse","Statistic","Cell_pop"
4,15,"Blood","4A","control","4A-3",29.1,"NK"
4,15,"Blood","4A","control","4A-4",16.8,"NK"
4,15,"Blood","4A","control","4A-5",20.1,"NK"
4,15,"Blood","4B","infected","4B-1",12,"NK"
4,15,"Blood","4B","infected","4B-2",33.1,"NK"
4,15,"Blood","4B","infected","4B-3",11,"NK"
4,15,"Blood","4B","infected","4B-4",22.7,"NK"
4,15,"Blood","4B","infected","4B-5",34,"NK"
8,15,"Blood","3A","control","3A-1",35.9,"NK"
8,15,"Blood","3A","control","3A-2",28.9,"NK"
8,15,"Blood","3A","control","3A-3",21,"NK"
8,15,"Blood","3A","control","3A-4",21.4,"NK"
8,15,"Blood","3A","control","3A-5",23.6,"NK"
8,15,"Blood","3B","infected","3B-1",36.1,"NK"
8,15,"Blood","3B","infected","3B-2",45.3,"NK"
8,15,"Blood","3B","infected","3B-3",23.6,"NK"
8,15,"Blood","3B","infected","3B-4",30.2,"NK"
8,15,"Blood","3B","infected","3B-5",38.1,"NK"
8,15,"Blood","4A","control","4A-1",42.9,"NK"
8,15,"Blood","4A","control","4A-2",31.6,"NK"
8,15,"Blood","4A","control","4A-3",22.6,"NK"
8,15,"Blood","4A","control","4A-4",24.5,"NK"
8,15,"Blood","4A","control","4A-5",28.1,"NK"
8,15,"Blood","4B","infected","4B-1",28.7,"NK"
8,15,"Blood","4B","infected","4B-2",45.8,"NK"
8,15,"Blood","4B","infected","4B-3",49.2,"NK"
8,15,"Blood","4B","infected","4B-4",38.8,"NK"
8,15,"Blood","4B","infected","4B-5",17.7,"NK"
12,15,"Blood","3A","control","3A-1",0.19,"NK"
12,15,"Blood","3A","control","3A-2",1,"NK"
12,15,"Blood","3A","control","3A-3",0.97,"NK"
12,15,"Blood","3A","control","3A-4",0.98,"NK"
12,15,"Blood","3A","control","3A-5",0.23,"NK"
12,15,"Blood","3B","infected","3B-1",1.6,"NK"
12,15,"Blood","3B","infected","3B-2",1.03,"NK"
12,15,"Blood","3B","infected","3B-3",0.53,"NK"
12,15,"Blood","3B","infected","3B-4",1.33,"NK"
12,15,"Blood","3B","infected","3B-5",1.49,"NK"
12,15,"Blood","4A","control","4A-1",0.98,"NK"
12,15,"Blood","4A","control","4A-2",1.81,"NK"
12,15,"Blood","4A","control","4A-3",1.05,"NK"
12,15,"Blood","4A","control","4A-4",0.92,"NK"
12,15,"Blood","4A","control","4A-5",1.2,"NK"
12,15,"Blood","4B","infected","4B-1",3.58,"NK"
12,15,"Blood","4B","infected","4B-2",2.04,"NK"
12,15,"Blood","4B","infected","4B-3",1.76,"NK"
12,15,"Blood","4B","infected","4B-4",1.34,"NK"
12,15,"Blood","4B","infected","4B-5",1.56,"NK"
16,15,"Blood","3A","control","3A-1",36.9,"NK"
16,15,"Blood","3A","control","3A-2",30.9,"NK"
16,15,"Blood","3A","control","3A-3",27.4,"NK"
16,15,"Blood","3A","control","3A-4",8.6,"NK"
16,15,"Blood","3A","control","3A-5",21.8,"NK"
16,15,"Blood","3B","infected","3B-1",39.5,"NK"
16,15,"Blood","3B","infected","3B-2",18.5,"NK"
16,15,"Blood","3B","infected","3B-3",45.5,"NK"
16,15,"Blood","3B","infected","3B-4",25.2,"NK"
16,15,"Blood","3B","infected","3B-5",21.5,"NK"
16,15,"Blood","4A","control","4A-1",22,"NK"
16,15,"Blood","4A","control","4A-2",28.4,"NK"
16,15,"Blood","4A","control","4A-3",29.6,"NK"
16,15,"Blood","4A","control","4A-4",28.1,"NK"
16,15,"Blood","4A","control","4A-5",26.1,"NK"
16,15,"Blood","4B","infected","4B-1",23.2,"NK"
16,15,"Blood","4B","infected","4B-2",31.9,"NK"
16,15,"Blood","4B","infected","4B-3",34,"NK"
16,15,"Blood","4B","infected","4B-4",32.6,"NK"
16,15,"Blood","4B","infected","4B-5",38.2,"NK"
20,15,"Blood","3A","control","3A-1",27.9,"NK"
20,15,"Blood","3A","control","3A-2",22.3,"NK"
20,15,"Blood","3A","control","3A-3",20.6,"NK"
20,15,"Blood","3A","control","3A-4",20.7,"NK"
20,15,"Blood","3A","control","3A-5",20.9,"NK"
20,15,"Blood","3B","infected","3B-1",23.7,"NK"
20,15,"Blood","3B","infected","3B-2",5.08,"NK"
20,15,"Blood","3B","infected","3B-3",19.8,"NK"
20,15,"Blood","3B","infected","3B-4",12.2,"NK"
20,15,"Blood","3B","infected","3B-5",20.3,"NK"
20,15,"Blood","4A","control","4A-1",22.9,"NK"
20,15,"Blood","4A","control","4A-2",17.9,"NK"
20,15,"Blood","4A","control","4A-3",23,"NK"
20,15,"Blood","4A","control","4A-4",18.6,"NK"
20,15,"Blood","4A","control","4A-5",15.8,"NK"
20,15,"Blood","4B","infected","4B-1",21.8,"NK"
20,15,"Blood","4B","infected","4B-2",26.2,"NK"
20,15,"Blood","4B","infected","4B-3",19.7,"NK"
20,15,"Blood","4B","infected","4B-4",22,"NK"
20,15,"Blood","4B","infected","4B-5",25.2,"NK"
24,15,"Salivary Gland","3A","control","3A-1",1.79,"NK"
24,15,"Salivary Gland","3A","control","3A-2",2.27,"NK"
24,15,"Salivary Gland","3A","control","3A-3",0.86,"NK"
24,15,"Salivary Gland","3A","control","3A-4",1.64,"NK"
24,15,"Salivary Gland","3A","control","3A-5",2.25,"NK"
24,15,"Salivary Gland","3B","infected","3B-1",3.35,"NK"
24,15,"Salivary Gland","3B","infected","3B-2",5.36,"NK"
24,15,"Salivary Gland","3B","infected","3B-3",7.25,"NK"
24,15,"Salivary Gland","3B","infected","3B-4",2.28,"NK"
24,15,"Salivary Gland","3B","infected","3B-5",3.31,"NK"
24,15,"Spleen","3A","control","3A-1",30,"NK"
24,15,"Spleen","3A","control","3A-2",26,"NK"
24,15,"Spleen","3A","control","3A-3",25.5,"NK"
24,15,"Spleen","3A","control","3A-4",18.9,"NK"
24,15,"Spleen","3A","control","3A-5",24.3,"NK"
24,15,"Spleen","3B","infected","3B-1",18.2,"NK"
24,15,"Spleen","3B","infected","3B-2",17.7,"NK"
24,15,"Spleen","3B","infected","3B-3",17.9,"NK"
24,15,"Spleen","3B","infected","3B-4",22.6,"NK"
24,15,"Spleen","3B","infected","3B-5",20.1,"NK"
24,15,"Blood","3A","control","3A-1",4.4,"NK"
24,15,"Blood","3A","control","3A-2",9.9,"NK"
24,15,"Blood","3A","control","3A-3",10.5,"NK"
24,15,"Blood","3A","control","3A-4",12.7,"NK"
24,15,"Blood","3A","control","3A-5",0.88,"NK"
24,15,"Blood","3B","infected","3B-1",18,"NK"
24,15,"Blood","3B","infected","3B-2",10.3,"NK"
24,15,"Blood","3B","infected","3B-3",18.6,"NK"
24,15,"Blood","3B","infected","3B-4",32.8,"NK"
24,15,"Blood","3B","infected","3B-5",8.95,"NK"
28,15,"Blood","4A","control","4A-1",29.3,"NK"
28,15,"Blood","4A","control","4A-2",15.5,"NK"
28,15,"Blood","4A","control","4A-3",38.5,"NK"
28,15,"Blood","4A","control","4A-4",17.1,"NK"
28,15,"Blood","4A","control","4A-5",5.01,"NK"
28,15,"Blood","4B","infected","4B-1",1.69,"NK"
28,15,"Blood","4B","infected","4B-2",6.32,"NK"
28,15,"Blood","4B","infected","4B-3",8.61,"NK"
28,15,"Blood","4B","infected","4B-4",9.39,"NK"
28,15,"Blood","4B","infected","4B-5",6.14,"NK"
32,15,"Salivary Gland","4A","control","4A-1",1.91,"NK"
32,15,"Salivary Gland","4A","control","4A-2",0.97,"NK"
32,15,"Salivary Gland","4A","control","4A-3",0.82,"NK"
32,15,"Salivary Gland","4A","control","4A-4",1.23,"NK"
32,15,"Salivary Gland","4A","control","4A-5",3.05,"NK"
32,15,"Salivary Gland","4B","infected","4B-1",3.36,"NK"
32,15,"Salivary Gland","4B","infected","4B-2",1.08,"NK"
32,15,"Salivary Gland","4B","infected","4B-3",3.92,"NK"
32,15,"Salivary Gland","4B","infected","4B-4",3.05,"NK"
32,15,"Salivary Gland","4B","infected","4B-5",6.09,"NK"
32,15,"Spleen","4A","control","4A-1",16,"NK"
32,15,"Spleen","4A","control","4A-2",17.3,"NK"
32,15,"Spleen","4A","control","4A-3",19.9,"NK"
32,15,"Spleen","4A","control","4A-4",14.1,"NK"
32,15,"Spleen","4A","control","4A-5",22,"NK"
32,15,"Spleen","4B","infected","4B-1",15.5,"NK"
32,15,"Spleen","4B","infected","4B-2",17.9,"NK"
32,15,"Spleen","4B","infected","4B-3",19,"NK"
32,15,"Spleen","4B","infected","4B-4",18.1,"NK"
32,15,"Spleen","4B","infected","4B-5",17.1,"NK"
32,15,"Blood","4A","control","4A-1",6.36,"NK"
32,15,"Blood","4A","control","4A-2",10.3,"NK"
32,15,"Blood","4A","control","4A-3",3.84,"NK"
32,15,"Blood","4A","control","4A-4",3.39,"NK"
32,15,"Blood","4A","control","4A-5",2.55,"NK"
32,15,"Blood","4B","infected","4B-1",4.87,"NK"
32,15,"Blood","4B","infected","4B-2",4.04,"NK"
32,15,"Blood","4B","infected","4B-3",7.97,"NK"
32,15,"Blood","4B","infected","4B-4",3.08,"NK"
32,15,"Blood","4B","infected","4B-5",3.75,"NK"
4,15,"Blood","3A","control","3A-1",47.3,"NK_KLRG1"
4,15,"Blood","3A","control","3A-2",54.4,"NK_KLRG1"
4,15,"Blood","3A","control","3A-3",67.1,"NK_KLRG1"
4,15,"Blood","3A","control","3A-4",57.8,"NK_KLRG1"
4,15,"Blood","3A","control","3A-5",53.3,"NK_KLRG1"
4,15,"Blood","3B","infected","3B-1",65.7,"NK_KLRG1"
4,15,"Blood","3B","infected","3B-2",62.7,"NK_KLRG1"
4,15,"Blood","3B","infected","3B-3",60.3,"NK_KLRG1"
4,15,"Blood","3B","infected","3B-4",57,"NK_KLRG1"
4,15,"Blood","3B","infected","3B-5",70.2,"NK_KLRG1"
4,15,"Blood","4A","control","4A-1",57.4,"NK_KLRG1"
4,15,"Blood","4A","control","4A-2",59.4,"NK_KLRG1"
4,15,"Blood","4A","control","4A-3",54.5,"NK_KLRG1"
4,15,"Blood","4A","control","4A-4",52.4,"NK_KLRG1"
4,15,"Blood","4A","control","4A-5",55.5,"NK_KLRG1"
4,15,"Blood","4B","infected","4B-1",60.6,"NK_KLRG1"
4,15,"Blood","4B","infected","4B-2",70.9,"NK_KLRG1"
4,15,"Blood","4B","infected","4B-3",68.9,"NK_KLRG1"
4,15,"Blood","4B","infected","4B-4",61.7,"NK_KLRG1"
4,15,"Blood","4B","infected","4B-5",65.7,"NK_KLRG1"
8,15,"Blood","3A","control","3A-1",51,"NK_KLRG1"
8,15,"Blood","3A","control","3A-2",58.6,"NK_KLRG1"
8,15,"Blood","3A","control","3A-3",53.8,"NK_KLRG1"
8,15,"Blood","3A","control","3A-4",48.9,"NK_KLRG1"
8,15,"Blood","3A","control","3A-5",48.8,"NK_KLRG1"
8,15,"Blood","3B","infected","3B-1",65.2,"NK_KLRG1"
8,15,"Blood","3B","infected","3B-2",74.9,"NK_KLRG1"
8,15,"Blood","3B","infected","3B-3",64.5,"NK_KLRG1"
8,15,"Blood","3B","infected","3B-4",65.5,"NK_KLRG1"
8,15,"Blood","3B","infected","3B-5",69.3,"NK_KLRG1"
8,15,"Blood","4A","control","4A-1",50,"NK_KLRG1"
8,15,"Blood","4A","control","4A-2",51.1,"NK_KLRG1"
8,15,"Blood","4A","control","4A-3",45.7,"NK_KLRG1"
8,15,"Blood","4A","control","4A-4",53.3,"NK_KLRG1"
8,15,"Blood","4A","control","4A-5",53.7,"NK_KLRG1"
8,15,"Blood","4B","infected","4B-1",68.2,"NK_KLRG1"
8,15,"Blood","4B","infected","4B-2",78,"NK_KLRG1"
8,15,"Blood","4B","infected","4B-3",73.1,"NK_KLRG1"
8,15,"Blood","4B","infected","4B-4",66.3,"NK_KLRG1"
8,15,"Blood","4B","infected","4B-5",77,"NK_KLRG1"
12,15,"Blood","3A","control","3A-1",43.4,"NK_KLRG1"
12,15,"Blood","3A","control","3A-2",61.3,"NK_KLRG1"
12,15,"Blood","3A","control","3A-3",46.9,"NK_KLRG1"
12,15,"Blood","3A","control","3A-4",45.8,"NK_KLRG1"
12,15,"Blood","3A","control","3A-5",45.7,"NK_KLRG1"
12,15,"Blood","3B","infected","3B-1",88.7,"NK_KLRG1"
12,15,"Blood","3B","infected","3B-2",80.9,"NK_KLRG1"
12,15,"Blood","3B","infected","3B-3",92.2,"NK_KLRG1"
12,15,"Blood","3B","infected","3B-4",83.5,"NK_KLRG1"
12,15,"Blood","3B","infected","3B-5",80.9,"NK_KLRG1"
12,15,"Blood","4A","control","4A-1",56.2,"NK_KLRG1"
12,15,"Blood","4A","control","4A-2",55.3,"NK_KLRG1"
12,15,"Blood","4A","control","4A-3",45.2,"NK_KLRG1"
12,15,"Blood","4A","control","4A-4",55.4,"NK_KLRG1"
12,15,"Blood","4A","control","4A-5",56.2,"NK_KLRG1"
12,15,"Blood","4B","infected","4B-1",93,"NK_KLRG1"
12,15,"Blood","4B","infected","4B-2",87.8,"NK_KLRG1"
12,15,"Blood","4B","infected","4B-3",88.7,"NK_KLRG1"
12,15,"Blood","4B","infected","4B-4",83.5,"NK_KLRG1"
12,15,"Blood","4B","infected","4B-5",82.3,"NK_KLRG1"
16,15,"Blood","3A","control","3A-1",61.4,"NK_KLRG1"
16,15,"Blood","3A","control","3A-2",47.4,"NK_KLRG1"
16,15,"Blood","3A","control","3A-3",53.1,"NK_KLRG1"
16,15,"Blood","3A","control","3A-4",32.4,"NK_KLRG1"
16,15,"Blood","3A","control","3A-5",46.4,"NK_KLRG1"
16,15,"Blood","3B","infected","3B-1",85.2,"NK_KLRG1"
16,15,"Blood","3B","infected","3B-2",41.4,"NK_KLRG1"
16,15,"Blood","3B","infected","3B-3",80.3,"NK_KLRG1"
16,15,"Blood","3B","infected","3B-4",55.9,"NK_KLRG1"
16,15,"Blood","3B","infected","3B-5",58.6,"NK_KLRG1"
16,15,"Blood","4A","control","4A-1",40.8,"NK_KLRG1"
16,15,"Blood","4A","control","4A-2",55.9,"NK_KLRG1"
16,15,"Blood","4A","control","4A-3",51.7,"NK_KLRG1"
16,15,"Blood","4A","control","4A-4",50.7,"NK_KLRG1"
16,15,"Blood","4A","control","4A-5",49.9,"NK_KLRG1"
16,15,"Blood","4B","infected","4B-1",68.3,"NK_KLRG1"
16,15,"Blood","4B","infected","4B-2",78.8,"NK_KLRG1"
16,15,"Blood","4B","infected","4B-3",59.2,"NK_KLRG1"
16,15,"Blood","4B","infected","4B-4",69.3,"NK_KLRG1"
16,15,"Blood","4B","infected","4B-5",78.2,"NK_KLRG1"
20,15,"Blood","3A","control","3A-1",55.6,"NK_KLRG1"
20,15,"Blood","3A","control","3A-2",68.3,"NK_KLRG1"
20,15,"Blood","3A","control","3A-3",57.4,"NK_KLRG1"
20,15,"Blood","3A","control","3A-4",67,"NK_KLRG1"
20,15,"Blood","3A","control","3A-5",60.6,"NK_KLRG1"
20,15,"Blood","3B","infected","3B-1",82.7,"NK_KLRG1"
20,15,"Blood","3B","infected","3B-2",61.7,"NK_KLRG1"
20,15,"Blood","3B","infected","3B-3",76.2,"NK_KLRG1"
20,15,"Blood","3B","infected","3B-4",69.1,"NK_KLRG1"
20,15,"Blood","3B","infected","3B-5",73.6,"NK_KLRG1"
20,15,"Blood","4A","control","4A-1",66.6,"NK_KLRG1"
20,15,"Blood","4A","control","4A-2",62.6,"NK_KLRG1"
20,15,"Blood","4A","control","4A-3",56,"NK_KLRG1"
20,15,"Blood","4A","control","4A-4",64.6,"NK_KLRG1"
20,15,"Blood","4A","control","4A-5",59.1,"NK_KLRG1"
20,15,"Blood","4B","infected","4B-1",84.6,"NK_KLRG1"
20,15,"Blood","4B","infected","4B-2",80,"NK_KLRG1"
20,15,"Blood","4B","infected","4B-3",72.3,"NK_KLRG1"
20,15,"Blood","4B","infected","4B-4",74.6,"NK_KLRG1"
20,15,"Blood","4B","infected","4B-5",73,"NK_KLRG1"
24,15,"Salivary Gland","3A","control","3A-1",17.5,"NK_KLRG1"
24,15,"Salivary Gland","3A","control","3A-2",22.8,"NK_KLRG1"
24,15,"Salivary Gland","3A","control","3A-3",32.8,"NK_KLRG1"
24,15,"Salivary Gland","3A","control","3A-4",21.1,"NK_KLRG1"
24,15,"Salivary Gland","3A","control","3A-5",21.6,"NK_KLRG1"
24,15,"Salivary Gland","3B","infected","3B-1",35.9,"NK_KLRG1"
24,15,"Salivary Gland","3B","infected","3B-2",35.2,"NK_KLRG1"
24,15,"Salivary Gland","3B","infected","3B-3",36,"NK_KLRG1"
24,15,"Salivary Gland","3B","infected","3B-4",22,"NK_KLRG1"
24,15,"Salivary Gland","3B","infected","3B-5",23.9,"NK_KLRG1"
24,15,"Spleen","3A","control","3A-1",59.8,"NK_KLRG1"
24,15,"Spleen","3A","control","3A-2",60,"NK_KLRG1"
24,15,"Spleen","3A","control","3A-3",55.8,"NK_KLRG1"
24,15,"Spleen","3A","control","3A-4",58.1,"NK_KLRG1"
24,15,"Spleen","3A","control","3A-5",56,"NK_KLRG1"
24,15,"Spleen","3B","infected","3B-1",70,"NK_KLRG1"
24,15,"Spleen","3B","infected","3B-2",59.8,"NK_KLRG1"
24,15,"Spleen","3B","infected","3B-3",67.8,"NK_KLRG1"
24,15,"Spleen","3B","infected","3B-4",69.5,"NK_KLRG1"
24,15,"Spleen","3B","infected","3B-5",62.8,"NK_KLRG1"
24,15,"Blood","3A","control","3A-1",65.2,"NK_KLRG1"
24,15,"Blood","3A","control","3A-2",61.7,"NK_KLRG1"
24,15,"Blood","3A","control","3A-3",54.3,"NK_KLRG1"
24,15,"Blood","3A","control","3A-4",61.2,"NK_KLRG1"
24,15,"Blood","3A","control","3A-5",46.1,"NK_KLRG1"
24,15,"Blood","3B","infected","3B-1",72.9,"NK_KLRG1"
24,15,"Blood","3B","infected","3B-2",59.1,"NK_KLRG1"
24,15,"Blood","3B","infected","3B-3",72,"NK_KLRG1"
24,15,"Blood","3B","infected","3B-4",74.9,"NK_KLRG1"
24,15,"Blood","3B","infected","3B-5",66,"NK_KLRG1"
28,15,"Blood","4A","control","4A-1",50,"NK_KLRG1"
28,15,"Blood","4A","control","4A-2",43.1,"NK_KLRG1"
28,15,"Blood","4A","control","4A-3",61.5,"NK_KLRG1"
28,15,"Blood","4A","control","4A-4",49,"NK_KLRG1"
28,15,"Blood","4A","control","4A-5",44.1,"NK_KLRG1"
28,15,"Blood","4B","infected","4B-1",50.3,"NK_KLRG1"
28,15,"Blood","4B","infected","4B-2",56.4,"NK_KLRG1"
28,15,"Blood","4B","infected","4B-3",59.2,"NK_KLRG1"
28,15,"Blood","4B","infected","4B-4",53,"NK_KLRG1"
28,15,"Blood","4B","infected","4B-5",59.5,"NK_KLRG1"
32,15,"Salivary Gland","4A","control","4A-1",14.1,"NK_KLRG1"
32,15,"Salivary Gland","4A","control","4A-2",23.8,"NK_KLRG1"
32,15,"Salivary Gland","4A","control","4A-3",14.2,"NK_KLRG1"
32,15,"Salivary Gland","4A","control","4A-4",20.7,"NK_KLRG1"
32,15,"Salivary Gland","4A","control","4A-5",10.6,"NK_KLRG1"
32,15,"Salivary Gland","4B","infected","4B-1",20.4,"NK_KLRG1"
32,15,"Salivary Gland","4B","infected","4B-2",20.8,"NK_KLRG1"
32,15,"Salivary Gland","4B","infected","4B-3",15.9,"NK_KLRG1"
32,15,"Salivary Gland","4B","infected","4B-4",21.5,"NK_KLRG1"
32,15,"Salivary Gland","4B","infected","4B-5",19.8,"NK_KLRG1"
32,15,"Spleen","4A","control","4A-1",32.2,"NK_KLRG1"
32,15,"Spleen","4A","control","4A-2",44.4,"NK_KLRG1"
32,15,"Spleen","4A","control","4A-3",34.2,"NK_KLRG1"
32,15,"Spleen","4A","control","4A-4",37.4,"NK_KLRG1"
32,15,"Spleen","4A","control","4A-5",36.2,"NK_KLRG1"
32,15,"Spleen","4B","infected","4B-1",52.3,"NK_KLRG1"
32,15,"Spleen","4B","infected","4B-2",53.5,"NK_KLRG1"
32,15,"Spleen","4B","infected","4B-3",46.7,"NK_KLRG1"
32,15,"Spleen","4B","infected","4B-4",41.7,"NK_KLRG1"
32,15,"Spleen","4B","infected","4B-5",49.1,"NK_KLRG1"
32,15,"Blood","4A","control","4A-1",39.6,"NK_KLRG1"
32,15,"Blood","4A","control","4A-2",56.2,"NK_KLRG1"
32,15,"Blood","4A","control","4A-3",43.8,"NK_KLRG1"
32,15,"Blood","4A","control","4A-4",43.6,"NK_KLRG1"
32,15,"Blood","4A","control","4A-5",36.7,"NK_KLRG1"
32,15,"Blood","4B","infected","4B-1",56.7,"NK_KLRG1"
32,15,"Blood","4B","infected","4B-2",57.5,"NK_KLRG1"
32,15,"Blood","4B","infected","4B-3",58.9,"NK_KLRG1"
32,15,"Blood","4B","infected","4B-4",44.5,"NK_KLRG1"
32,15,"Blood","4B","infected","4B-5",58.6,"NK_KLRG1"
4,15,"Blood","3A","control","3A-1",63.9,"CD4"
4,15,"Blood","3A","control","3A-2",66.5,"CD4"
4,15,"Blood","3A","control","3A-3",74.2,"CD4"
4,15,"Blood","3A","control","3A-4",71,"CD4"
4,15,"Blood","3A","control","3A-5",71,"CD4"
4,15,"Blood","3B","infected","3B-1",67.6,"CD4"
4,15,"Blood","3B","infected","3B-2",68.5,"CD4"
4,15,"Blood","3B","infected","3B-3",63.2,"CD4"
4,15,"Blood","3B","infected","3B-4",63.8,"CD4"
4,15,"Blood","3B","infected","3B-5",65,"CD4"
4,15,"Blood","4A","control","4A-1",63.4,"CD4"
4,15,"Blood","4A","control","4A-2",64.2,"CD4"
4,15,"Blood","4A","control","4A-3",67.7,"CD4"
4,15,"Blood","4A","control","4A-4",67.7,"CD4"
4,15,"Blood","4A","control","4A-5",71.8,"CD4"
4,15,"Blood","4B","infected","4B-1",70.3,"CD4"
4,15,"Blood","4B","infected","4B-2",71.5,"CD4"
4,15,"Blood","4B","infected","4B-3",69,"CD4"
4,15,"Blood","4B","infected","4B-4",69.4,"CD4"
4,15,"Blood","4B","infected","4B-5",66.8,"CD4"
8,15,"Blood","3A","control","3A-1",69.8,"CD4"
8,15,"Blood","3A","control","3A-2",74.9,"CD4"
8,15,"Blood","3A","control","3A-3",69.4,"CD4"
8,15,"Blood","3A","control","3A-4",73.8,"CD4"
8,15,"Blood","3A","control","3A-5",69.5,"CD4"
8,15,"Blood","3B","infected","3B-1",69.8,"CD4"
8,15,"Blood","3B","infected","3B-2",71,"CD4"
8,15,"Blood","3B","infected","3B-3",73.1,"CD4"
8,15,"Blood","3B","infected","3B-4",61,"CD4"
8,15,"Blood","3B","infected","3B-5",68.7,"CD4"
8,15,"Blood","4A","control","4A-1",72.2,"CD4"
8,15,"Blood","4A","control","4A-2",73.1,"CD4"
8,15,"Blood","4A","control","4A-3",74.7,"CD4"
8,15,"Blood","4A","control","4A-4",70.1,"CD4"
8,15,"Blood","4A","control","4A-5",67.4,"CD4"
8,15,"Blood","4B","infected","4B-1",72,"CD4"
8,15,"Blood","4B","infected","4B-2",64.2,"CD4"
8,15,"Blood","4B","infected","4B-3",70.9,"CD4"
8,15,"Blood","4B","infected","4B-4",65.5,"CD4"
8,15,"Blood","4B","infected","4B-5",69.7,"CD4"
12,15,"Blood","3A","control","3A-1",72.8,"CD4"
12,15,"Blood","3A","control","3A-2",76.1,"CD4"
12,15,"Blood","3A","control","3A-3",65.9,"CD4"
12,15,"Blood","3A","control","3A-4",74.2,"CD4"
12,15,"Blood","3A","control","3A-5",72.6,"CD4"
12,15,"Blood","3B","infected","3B-1",60.3,"CD4"
12,15,"Blood","3B","infected","3B-2",63.2,"CD4"
12,15,"Blood","3B","infected","3B-3",62.8,"CD4"
12,15,"Blood","3B","infected","3B-4",70.4,"CD4"
12,15,"Blood","3B","infected","3B-5",66.8,"CD4"
12,15,"Blood","4A","control","4A-1",66.3,"CD4"
12,15,"Blood","4A","control","4A-2",66.3,"CD4"
12,15,"Blood","4A","control","4A-3",67.5,"CD4"
12,15,"Blood","4A","control","4A-4",71.1,"CD4"
12,15,"Blood","4A","control","4A-5",65.4,"CD4"
12,15,"Blood","4B","infected","4B-1",66.4,"CD4"
12,15,"Blood","4B","infected","4B-2",63.3,"CD4"
12,15,"Blood","4B","infected","4B-3",65.4,"CD4"
12,15,"Blood","4B","infected","4B-4",63.4,"CD4"
12,15,"Blood","4B","infected","4B-5",61.7,"CD4"
16,15,"Blood","3A","control","3A-1",74.8,"CD4"
16,15,"Blood","3A","control","3A-2",70.5,"CD4"
16,15,"Blood","3A","control","3A-3",68.7,"CD4"
16,15,"Blood","3A","control","3A-4",70.8,"CD4"
16,15,"Blood","3A","control","3A-5",73,"CD4"
16,15,"Blood","3B","infected","3B-1",61.3,"CD4"
16,15,"Blood","3B","infected","3B-2",69.5,"CD4"
16,15,"Blood","3B","infected","3B-3",58.7,"CD4"
16,15,"Blood","3B","infected","3B-4",67.9,"CD4"
16,15,"Blood","3B","infected","3B-5",70.5,"CD4"
16,15,"Blood","4A","control","4A-1",72.1,"CD4"
16,15,"Blood","4A","control","4A-2",68.3,"CD4"
16,15,"Blood","4A","control","4A-3",67.8,"CD4"
16,15,"Blood","4A","control","4A-4",69.2,"CD4"
16,15,"Blood","4A","control","4A-5",68.5,"CD4"
16,15,"Blood","4B","infected","4B-1",67.5,"CD4"
16,15,"Blood","4B","infected","4B-2",69.1,"CD4"
16,15,"Blood","4B","infected","4B-3",71.7,"CD4"
16,15,"Blood","4B","infected","4B-4",66.5,"CD4"
16,15,"Blood","4B","infected","4B-5",65.5,"CD4"
20,15,"Blood","3A","control","3A-1",67,"CD4"
20,15,"Blood","3A","control","3A-2",71.4,"CD4"
20,15,"Blood","3A","control","3A-3",71.2,"CD4"
20,15,"Blood","3A","control","3A-4",69.1,"CD4"
20,15,"Blood","3A","control","3A-5",67.4,"CD4"
20,15,"Blood","3B","infected","3B-1",61.1,"CD4"
20,15,"Blood","3B","infected","3B-2",68,"CD4"
20,15,"Blood","3B","infected","3B-3",68,"CD4"
20,15,"Blood","3B","infected","3B-4",62.6,"CD4"
20,15,"Blood","3B","infected","3B-5",64.2,"CD4"
20,15,"Blood","4A","control","4A-1",64.2,"CD4"
20,15,"Blood","4A","control","4A-2",67.4,"CD4"
20,15,"Blood","4A","control","4A-3",67.7,"CD4"
20,15,"Blood","4A","control","4A-4",68.4,"CD4"
20,15,"Blood","4A","control","4A-5",64.6,"CD4"
20,15,"Blood","4B","infected","4B-1",70.1,"CD4"
20,15,"Blood","4B","infected","4B-2",68.3,"CD4"
20,15,"Blood","4B","infected","4B-3",68.8,"CD4"
20,15,"Blood","4B","infected","4B-4",64.5,"CD4"
20,15,"Blood","4B","infected","4B-5",61.2,"CD4"
24,15,"Salivary Gland","3A","control","3A-1",71.6,"CD4"
24,15,"Salivary Gland","3A","control","3A-2",66.8,"CD4"
24,15,"Salivary Gland","3A","control","3A-3",15.3,"CD4"
24,15,"Salivary Gland","3A","control","3A-4",71.4,"CD4"
24,15,"Salivary Gland","3A","control","3A-5",64.6,"CD4"
24,15,"Salivary Gland","3B","infected","3B-1",63.2,"CD4"
24,15,"Salivary Gland","3B","infected","3B-2",66.4,"CD4"
24,15,"Salivary Gland","3B","infected","3B-3",66.2,"CD4"
24,15,"Salivary Gland","3B","infected","3B-4",63.9,"CD4"
24,15,"Salivary Gland","3B","infected","3B-5",69.2,"CD4"
24,15,"Spleen","3A","control","3A-1",62.6,"CD4"
24,15,"Spleen","3A","control","3A-2",63.9,"CD4"
24,15,"Spleen","3A","control","3A-3",63.7,"CD4"
24,15,"Spleen","3A","control","3A-4",62.4,"CD4"
24,15,"Spleen","3A","control","3A-5",60.2,"CD4"
24,15,"Spleen","3B","infected","3B-1",62.2,"CD4"
